                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2305,                 2.0105,                  0.816,                0.99111,                0.48618,                0.47007,                0.43489,                0.22132,                0.40216,                0.36775,                0.33668,                0.15326,                  2.184,                 2.7804,                 2.1306,                 1.5075,               0.067046,              0.0001656,              0.0001656
                      1,                 1.2443,                 1.9516,                 0.8167,                0.99675,                0.50663,                0.46113,                0.43649,                0.22135,                0.39913,                0.36331,                0.34189,                0.15461,                 2.1831,                 2.7894,                 2.1065,                 1.5118,               0.033879,             0.00033173,             0.00033173
                      2,                 1.1991,                 1.9997,                 0.7809,                0.97856,                0.50888,                0.46152,                0.42972,                0.21602,                0.38277,                0.34654,                0.31976,                0.14213,                 2.1951,                 2.7487,                 2.1422,                 1.5101,             0.00071101,             0.00049734,             0.00049734
                      3,                 1.2095,                 1.9472,                0.79898,                0.97421,                 0.5141,                0.44065,                0.42778,                0.21437,                0.41907,                0.34067,                0.32971,                0.15065,                 2.2129,                 2.7884,                 2.0764,                 1.5246,              0.0004976,              0.0004976,              0.0004976
                      4,                 1.2241,                 2.0185,                0.78758,                0.97513,                 0.4906,                0.48057,                0.43028,                 0.2136,                0.38124,                 0.3684,                0.33279,                0.14953,                 2.1723,                 2.7709,                  2.087,                 1.4856,              0.0004976,              0.0004976,              0.0004976
                      5,                 1.2273,                 1.9073,                0.81347,                0.97934,                0.49101,                0.45979,                0.43271,                0.21609,                  0.397,                0.33558,                0.33108,                0.14546,                 2.2256,                 2.8253,                   2.12,                 1.5388,              0.0004968,              0.0004968,              0.0004968
                      6,                 1.2382,                 1.9882,                 0.8113,                0.98469,                0.48614,                 0.4557,                0.42289,                0.21133,                0.42855,                0.32335,                0.31489,                0.14595,                 2.1805,                 2.8054,                 2.1606,                 1.5143,               0.000496,               0.000496,               0.000496
                      7,                 1.2396,                 1.9515,                0.80111,                0.99162,                0.48911,                0.50004,                 0.4425,                0.21861,                0.40073,                 0.3488,                0.32529,                0.14419,                  2.163,                 2.8011,                 2.0465,                 1.5015,              0.0004952,              0.0004952,              0.0004952
                      8,                 1.2352,                 1.9787,                0.82324,                0.98288,                 0.4612,                0.45367,                0.41691,                0.21342,                0.36761,                0.33986,                0.32365,                0.14633,                 2.1528,                 2.8463,                 2.1587,                 1.4883,              0.0004944,              0.0004944,              0.0004944
                      9,                 1.2281,                 1.9506,                0.81621,                 0.9864,                0.51874,                0.43901,                0.43803,                0.21767,                 0.4024,                0.34402,                0.33879,                0.14581,                 2.2019,                 2.8109,                 2.1047,                 1.5206,              0.0004936,              0.0004936,              0.0004936
                     10,                 1.2126,                 1.9669,                0.77985,                0.97499,                0.50757,                 0.4494,                0.43733,                0.22009,                0.42513,                0.31095,                0.33662,                0.14656,                 2.2125,                 2.7363,                 2.1543,                 1.5358,              0.0004928,              0.0004928,              0.0004928
                     11,                 1.2202,                 1.8952,                0.79548,                0.98018,                 0.4918,                0.45958,                0.41784,                0.21302,                0.37452,                0.36007,                0.32261,                0.13741,                 2.1692,                 2.8312,                 2.0974,                 1.5111,               0.000492,               0.000492,               0.000492
                     12,                 1.2081,                 2.0393,                0.78251,                0.98144,                0.50303,                0.45233,                0.42874,                0.21222,                0.38094,                0.34372,                0.32676,                0.14118,                 2.1738,                 2.7605,                 2.0997,                 1.4931,              0.0004912,              0.0004912,              0.0004912
                     13,                 1.2221,                 1.9517,                0.78576,                0.97636,                0.48957,                0.47165,                0.43221,                0.21647,                0.37064,                0.34526,                0.31742,                0.14324,                 2.1917,                  2.747,                 2.0474,                 1.5301,              0.0004904,              0.0004904,              0.0004904
                     14,                 1.2261,                 1.9567,                 0.7978,                0.98425,                0.45661,                0.49234,                0.42259,                0.21349,                0.39629,                0.34093,                0.32961,                0.14684,                  2.184,                  2.777,                 2.0697,                 1.5296,              0.0004896,              0.0004896,              0.0004896
                     15,                 1.1935,                 1.9567,                0.77226,                0.96951,                0.49043,                 0.4694,                0.42598,                0.21388,                0.43086,                0.33008,                0.32825,                0.14597,                 2.2086,                 2.7504,                 2.1422,                 1.5327,              0.0004888,              0.0004888,              0.0004888
                     16,                 1.2053,                 1.9218,                0.77134,                0.96741,                0.48044,                0.46828,                0.42389,                0.21631,                0.38218,                0.36213,                0.32302,                0.14583,                 2.1837,                 2.8052,                 2.1117,                 1.5196,               0.000488,               0.000488,               0.000488
                     17,                 1.1736,                 1.9118,                0.76177,                0.97158,                0.50522,                0.45655,                0.42711,                0.21471,                0.38863,                0.35261,                 0.3253,                0.13763,                 2.1669,                 2.8233,                 2.1555,                 1.5121,              0.0004872,              0.0004872,              0.0004872
                     18,                 1.1887,                  1.912,                0.75843,                0.96875,                0.53772,                0.44976,                0.44606,                0.22582,                0.42486,                0.34053,                0.33516,                0.15131,                 2.1903,                 2.7933,                 2.1315,                 1.5205,              0.0004864,              0.0004864,              0.0004864
                     19,                 1.1965,                   1.89,                0.76422,                 0.9641,                0.53369,                0.44122,                0.43892,                0.21782,                0.45489,                0.31517,                0.33688,                0.14794,                 2.1953,                  2.848,                 2.1732,                   1.51,              0.0004856,              0.0004856,              0.0004856
                     20,                  1.175,                 1.9436,                0.75944,                0.97203,                0.50465,                0.45322,                0.41634,                0.21019,                0.39061,                0.34358,                0.32307,                0.14295,                 2.2051,                 2.8612,                 2.2014,                 1.5409,              0.0004848,              0.0004848,              0.0004848
                     21,                 1.1652,                 1.9192,                0.75318,                0.96766,                0.53536,                0.44379,                0.43194,                0.21863,                0.41511,                0.35461,                0.33652,                0.14517,                 2.1824,                 2.7414,                  2.177,                 1.5326,               0.000484,               0.000484,               0.000484
                     22,                   1.16,                 1.9309,                0.73264,                 0.9661,                0.49339,                0.45351,                 0.4235,                 0.2202,                0.40658,                0.34361,                0.33501,                0.14716,                 2.1667,                 2.7733,                 2.1384,                 1.5207,              0.0004832,              0.0004832,              0.0004832
                     23,                 1.1804,                   1.93,                0.76078,                0.96653,                0.50541,                0.44945,                 0.4352,                 0.2242,                0.38793,                0.35878,                0.33328,                0.14203,                 2.1928,                 2.8192,                 2.2518,                 1.5208,              0.0004824,              0.0004824,              0.0004824
                     24,                 1.1729,                 1.9316,                0.73954,                0.96339,                 0.5098,                0.44554,                0.43723,                 0.2233,                0.44765,                0.33811,                0.34529,                0.15294,                 2.2302,                 2.7433,                 2.2044,                 1.5334,              0.0004816,              0.0004816,              0.0004816
                     25,                 1.1663,                 1.8612,                0.75123,                0.96477,                0.50631,                0.44281,                0.43121,                0.21825,                0.45042,                0.33192,                0.33416,                0.14928,                 2.2019,                  2.757,                 2.0995,                 1.5304,              0.0004808,              0.0004808,              0.0004808
                     26,                 1.1826,                  1.911,                0.76272,                0.96419,                0.50473,                0.47388,                0.45664,                0.23363,                 0.4464,                0.34978,                0.34605,                0.15854,                 2.1512,                 2.7572,                 2.0737,                 1.4896,                0.00048,                0.00048,                0.00048
                     27,                 1.1566,                 1.8713,                0.74297,                0.96192,                0.51025,                 0.4395,                 0.4329,                0.21684,                0.41617,                0.32777,                0.33693,                0.15492,                 2.2099,                 2.8567,                 2.2458,                  1.537,              0.0004792,              0.0004792,              0.0004792
                     28,                  1.167,                 1.8977,                0.72627,                0.95871,                0.55705,                0.43414,                0.45579,                0.23326,                0.44411,                0.34742,                0.35421,                0.15915,                 2.1823,                 2.7706,                 2.1036,                 1.5288,              0.0004784,              0.0004784,              0.0004784
                     29,                 1.1601,                 1.8884,                0.73399,                0.96079,                0.53823,                0.44467,                 0.4489,                0.22941,                0.41573,                0.35324,                0.34198,                0.15594,                 2.1607,                 2.7571,                 2.0458,                 1.5051,              0.0004776,              0.0004776,              0.0004776
                     30,                 1.1736,                 1.9205,                 0.7346,                0.95895,                0.50863,                0.46544,                0.45014,                0.23093,                0.45715,                0.33096,                0.34518,                  0.158,                 2.1949,                 2.7877,                 2.0984,                 1.5503,              0.0004768,              0.0004768,              0.0004768
                     31,                 1.1747,                 1.9145,                0.74246,                0.97151,                0.52382,                0.46987,                0.45433,                0.23295,                0.41237,                0.35743,                0.34066,                0.15798,                 2.2006,                 2.8016,                 2.0797,                 1.5459,               0.000476,               0.000476,               0.000476
                     32,                  1.172,                 1.8752,                0.73412,                 0.9602,                0.49037,                0.46998,                0.43166,                0.22402,                0.39717,                0.37726,                0.34873,                0.15353,                 2.2139,                 2.8021,                 2.1564,                 1.5287,              0.0004752,              0.0004752,              0.0004752
                     33,                 1.1183,                 1.8811,                 0.7093,                0.95219,                0.51572,                 0.4583,                0.44258,                0.22807,                0.41787,                0.37252,                0.34623,                0.15414,                 2.2228,                 2.7793,                 2.0947,                 1.5401,              0.0004744,              0.0004744,              0.0004744
                     34,                 1.1347,                  1.875,                0.71313,                0.95567,                0.50519,                  0.474,                0.44535,                0.22878,                0.42427,                0.35107,                0.34364,                0.15207,                 2.2057,                 2.7904,                 2.1431,                 1.5457,              0.0004736,              0.0004736,              0.0004736
                     35,                 1.1308,                  1.934,                0.71334,                0.95949,                0.50575,                0.45378,                 0.4388,                0.22485,                0.46221,                0.33605,                0.34951,                0.15391,                 2.1758,                 2.7491,                 2.0976,                 1.5109,              0.0004728,              0.0004728,              0.0004728
                     36,                 1.1354,                  1.855,                0.72504,                0.95904,                 0.4897,                0.46616,                0.43957,                0.21886,                0.46437,                0.31578,                 0.3439,                0.15312,                  2.206,                 2.8062,                 2.1754,                 1.5108,               0.000472,               0.000472,               0.000472
                     37,                 1.1167,                 1.8224,                 0.7053,                0.94657,                0.51015,                0.45357,                0.43878,                0.22079,                0.39691,                0.34761,                0.32488,                0.14925,                 2.2168,                 2.7704,                 2.0726,                 1.5389,              0.0004712,              0.0004712,              0.0004712
