                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1922,                 4.4651,                 7.2177,                 1.1794,                0.26465,                0.16843,                0.13204,                0.04905,                0.26188,                0.16408,                0.11117,                 0.0431,                 3.3025,                 4.2693,                 8.1683,                 1.0286,               0.070184,              0.0033129,              0.0033129
                      1,                 3.2016,                 3.6599,                 4.9152,                 1.0062,                0.29058,                0.18707,                0.15883,                0.05823,                0.35013,                0.21558,                0.16893,                0.06124,                 3.4582,                 4.4005,                 8.2929,                 1.0313,               0.040118,              0.0065804,              0.0065804
                      2,                 3.3219,                 3.7667,                  4.799,                 1.0174,                0.32839,                0.12966,                0.13934,                 0.0592,                0.33232,                0.13002,                0.15254,                0.06236,                  3.461,                 4.5243,                 5.4317,                 1.0724,              0.0099865,               0.009782,               0.009782
                      3,                  3.312,                  3.674,                 4.8426,                 1.0139,                0.78195,                 0.1063,                 0.1406,                0.05665,                0.82346,                0.11417,                0.18922,                0.07866,                  3.765,                 4.4246,                 6.3466,                 1.1531,               0.009703,               0.009703,               0.009703
                      4,                 3.3295,                 3.7091,                 4.4404,                 1.0081,                0.35874,                0.23205,                0.20354,                0.09106,                0.35652,                0.22113,                0.21081,                0.10018,                 3.4544,                 4.1999,                 4.4381,                 1.0138,               0.009703,               0.009703,               0.009703
                      5,                 3.3115,                 3.6314,                 4.3702,                 1.0019,                0.78417,                0.18504,                 0.2028,                 0.0878,                0.78417,                0.18504,                0.20895,                0.08932,                 3.4272,                 4.2678,                 5.3298,                0.97203,               0.009604,               0.009604,               0.009604
                      6,                 3.2849,                  3.566,                 4.2121,                0.99009,                0.34849,                0.18881,                0.15484,                0.06354,                0.33661,                0.20387,                0.17775,                0.06105,                 3.4212,                 4.1148,                 4.4753,                0.97947,               0.009505,               0.009505,               0.009505
                      7,                 3.2788,                  3.612,                 4.2301,                 0.9731,                0.35175,                 0.1877,                0.19355,                 0.0802,                0.35321,                0.18572,                0.19869,                0.08933,                 3.3003,                 4.1365,                 4.4012,                0.97304,               0.009406,               0.009406,               0.009406
                      8,                 3.2773,                 3.4056,                 4.1349,                0.97456,                0.35738,                0.23418,                0.17425,                0.07713,                0.32599,                0.25318,                 0.2017,                0.08677,                 3.3135,                 3.9914,                 4.1665,                0.98553,               0.009307,               0.009307,               0.009307
                      9,                 3.2218,                  3.586,                 4.0495,                 0.9712,                0.36164,                 0.1817,                0.15959,                0.06874,                0.33028,                0.18661,                0.17193,                 0.0677,                 3.4163,                 4.3918,                 5.1399,                 1.0348,               0.009208,               0.009208,               0.009208
                     10,                 3.1527,                 3.4824,                 3.9818,                0.96996,                0.36078,                0.22543,                 0.1971,                0.08472,                0.35359,                0.21776,                0.19126,                0.08458,                 3.3439,                 4.0321,                 4.4673,                0.97652,               0.009109,               0.009109,               0.009109
                     11,                  3.146,                 3.3668,                 3.9029,                0.95596,                0.39253,                0.21408,                0.20767,                0.09125,                0.36758,                0.21017,                0.21185,                0.08645,                  3.365,                 4.3291,                  4.527,                0.98225,                0.00901,                0.00901,                0.00901
                     12,                 3.1882,                 3.3112,                 4.0296,                0.95748,                0.48816,                0.19334,                0.18645,                0.07483,                0.40509,                0.19704,                0.19932,                0.08993,                 3.2412,                   4.08,                 5.1293,                0.95999,               0.008911,               0.008911,               0.008911
                     13,                 3.0306,                 3.3657,                 3.8541,                0.94548,                0.47736,                0.19313,                0.20826,                0.08403,                 0.3738,                0.22077,                0.23588,                0.08304,                 3.3856,                 4.0514,                 4.8546,                 0.9928,               0.008812,               0.008812,               0.008812
                     14,                 3.1242,                 3.4928,                 3.9192,                0.95534,                0.32981,                0.22434,                0.19208,                0.07339,                0.30769,                0.21752,                0.18797,                0.08532,                 3.3493,                 4.0073,                 4.1705,                0.95212,               0.008713,               0.008713,               0.008713
                     15,                  3.081,                 3.3284,                 3.8382,                0.94815,                0.34651,                0.21903,                0.18788,                0.08012,                0.40221,                0.25297,                0.22176,                0.08721,                 3.4068,                  4.073,                 4.3987,                0.98409,               0.008614,               0.008614,               0.008614
                     16,                 3.0612,                 3.3257,                  3.843,                0.94255,                0.39501,                0.26483,                0.21947,                0.09553,                0.36497,                0.25668,                0.22082,                0.09254,                 3.1538,                 4.0325,                  4.152,                0.94702,               0.008515,               0.008515,               0.008515
                     17,                 3.0349,                 3.2747,                 3.7743,                0.93862,                0.39745,                0.24104,                0.23106,                0.10949,                0.39986,                0.26085,                0.25028,                0.11261,                 3.1675,                 4.0135,                 3.9834,                0.93511,               0.008416,               0.008416,               0.008416
                     18,                 3.0341,                 3.3348,                 3.8035,                0.93413,                 0.3873,                0.23373,                0.20318,                0.08327,                0.34468,                0.23029,                 0.2051,                0.08828,                 3.1737,                 3.8782,                 3.9748,                0.92973,               0.008317,               0.008317,               0.008317
                     19,                 3.0319,                 3.3528,                  3.766,                  0.936,                0.48091,                0.21579,                0.20673,                0.08694,                0.44208,                0.21447,                0.21009,                0.09135,                 3.1899,                 4.0183,                 4.1054,                 0.9452,               0.008218,               0.008218,               0.008218
                     20,                 2.9716,                 3.2072,                 3.7646,                0.93045,                0.39831,                0.24543,                0.22938,                0.10423,                0.37605,                0.23345,                0.22409,                0.10041,                 3.1898,                 3.8085,                 3.9859,                0.93107,               0.008119,               0.008119,               0.008119
                     21,                 3.0178,                 3.3059,                 3.7873,                0.93128,                0.37708,                0.26471,                0.23653,                0.10977,                0.32631,                0.25129,                0.22718,                0.09857,                 3.1483,                  3.955,                 4.1069,                0.95074,                0.00802,                0.00802,                0.00802
